Date-Hour,Count
2020-05-07 00,180447
2020-05-07 01,153676
2020-05-07 02,160544
2020-05-07 03,171285
2020-05-07 04,183445
2020-05-07 05,180467
2020-05-07 06,180728
2020-05-07 07,181295
2020-05-07 08,193683
2020-05-07 09,194149
2020-05-07 10,208315
2020-05-07 11,211838
2020-05-07 12,189776
2020-05-07 13,192542
2020-05-07 14,225276
2020-05-07 15,226546
2020-05-07 16,296605
2020-05-07 17,301059
2020-05-07 18,218596
2020-05-07 19,202773
2020-05-07 20,200376
2020-05-07 21,187264
2020-05-07 22,176039
2020-05-07 23,155347
2020-05-08 00,187374
2020-05-08 01,174732
2020-05-08 02,160162
2020-05-08 03,178306
2020-05-08 04,185332
2020-05-08 05,176788
2020-05-08 06,186930
2020-05-08 07,186027
2020-05-08 08,182451
2020-05-08 09,187149
2020-05-08 10,190520
2020-05-08 11,192062
2020-05-08 12,185959
2020-05-08 13,184356
2020-05-08 14,182529
2020-05-08 15,186944
2020-05-08 16,185061
2020-05-08 17,183799
2020-05-08 18,184113
2020-05-08 19,189585
2020-05-08 20,187110
2020-05-08 21,193737
2020-05-08 22,188547
2020-05-08 23,167666
2020-05-09 00,161270
2020-05-09 01,147194
2020-05-09 02,156930
2020-05-09 03,185694
2020-05-09 04,186208
2020-05-09 05,190502
2020-05-09 06,194530
2020-05-09 07,197698
2020-05-09 08,188429
2020-05-09 09,217502
2020-05-09 10,192493
2020-05-09 11,186489
2020-05-09 12,182676
2020-05-09 13,176300
2020-05-09 14,172486
2020-05-09 15,173442
2020-05-09 16,174102
2020-05-09 17,174579
2020-05-09 18,174412
2020-05-09 19,180769
2020-05-09 20,174013
2020-05-09 21,175198
2020-05-09 22,175075
2020-05-09 23,144567
2020-05-10 00,173568
2020-05-10 01,157208
2020-05-10 02,149957
2020-05-10 03,172400
2020-05-10 04,183058
2020-05-10 05,175687
2020-05-10 06,179723
2020-05-10 07,179302
2020-05-10 08,169917
2020-05-10 09,174887
2020-05-10 10,177917
2020-05-10 11,181660
2020-05-10 12,179159
2020-05-10 13,181705
2020-05-10 14,184438
2020-05-10 15,182961
2020-05-10 16,178188
2020-05-10 17,173012
2020-05-10 18,176907
2020-05-10 19,168028
2020-05-10 20,164341
2020-05-10 21,178304
2020-05-10 22,163756
2020-05-10 23,159924
2020-05-11 00,184061
2020-05-11 01,141570
2020-05-11 02,152387
2020-05-11 03,172809
2020-05-11 04,174462
2020-05-11 05,174891
2020-05-11 06,174737
2020-05-11 07,165804
2020-05-11 08,168849
2020-05-11 09,181649
2020-05-11 10,182601
2020-05-11 11,182022
2020-05-11 12,197834
2020-05-11 13,194245
2020-05-11 14,171655
2020-05-11 15,193798
2020-05-11 16,214804
2020-05-11 17,195501
2020-05-11 18,181574
2020-05-11 19,188330
2020-05-11 20,185779
2020-05-11 21,191677
2020-05-11 22,192158
2020-05-11 23,227672
2020-05-12 00,200625
2020-05-12 01,189269
2020-05-12 02,163910
2020-05-12 03,185355
2020-05-12 04,189281
2020-05-12 05,188260
2020-05-12 06,187688
2020-05-12 07,183261
2020-05-12 08,181629
2020-05-12 09,184270
2020-05-12 10,189114
2020-05-12 11,183502
2020-05-12 12,184315
2020-05-12 13,183002
2020-05-12 14,174352
2020-05-12 15,177748
2020-05-12 16,186439
2020-05-12 17,189023
2020-05-12 18,186240
2020-05-12 19,250950
2020-05-12 20,221471
2020-05-12 21,249718
2020-05-12 22,216532
2020-05-12 23,201777
2020-05-13 00,199899
2020-05-13 01,155991
2020-05-13 02,176763
2020-05-13 03,190150
2020-05-13 04,216090
2020-05-13 05,223143
2020-05-13 06,189952
2020-05-13 07,194624
2020-05-13 08,189176
2020-05-13 09,187063
2020-05-13 10,191039
2020-05-13 11,200423
2020-05-13 12,197504
2020-05-13 13,201623
2020-05-13 14,199887
2020-05-13 15,192822
2020-05-13 16,186227
2020-05-13 17,191748
2020-05-13 18,192238
2020-05-13 19,143367
2020-05-13 20,148583
2020-05-13 21,190787
2020-05-13 22,168326
2020-05-13 23,184113
